GeneID,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT2G46620,NA,NA,1302.3359680539877,3.83975591026974,0.42886563827164503,1.6455407515333366e-20,7.858010521559864e-19
AT1G19320,NA,NA,340.21629259103145,7.869822570660384,0.8730891734632731,1.85073443143018e-20,8.81810781221476e-19
AT5G66900,NRG1.1,NA,1228.3961895288298,2.493415606566169,0.2767931156323234,1.878698252815311e-20,8.931365042067075e-19
AT2G46330,AGP16,Encodes arabinogalactan protein (AGP16).,8198.348919727498,2.418620761669806,0.2672062907592945,1.8908451121282284e-20,8.969091135435859e-19
AT3G50910,NA,NA,3249.4385790058373,2.9491829128715104,0.32834540445384663,1.9589151184248764e-20,9.27132759826956e-19
AT1G26410,AtBBE6,NA,394.4192441462542,6.716645015562349,0.7513500112272784,1.9922119510895315e-20,9.408011116253846e-19
AT4G28400,NA,NA,1255.379704023835,2.4168364784072622,0.2682659919712215,2.1140918068742654e-20,9.961488341329226e-19
AT1G80610,NA,NA,854.8104329730942,2.204574507914322,0.24421983206985157,2.1328373436622286e-20,1.0027631290357206e-18
AT3G05370,AtRLP31,NA,663.5293467688748,4.410049092514141,0.4947397012015908,2.139654499792959e-20,1.0037524567530932e-18
AT3G07600,NA,NA,98.56017278293932,4.119814308815813,0.4583649565780728,2.4253953176635615e-20,1.1352982302329344e-18
AT1G56242,NA,NA,1242.0498792041535,10.6506840163982,1.1747480006239128,2.7128183185404014e-20,1.2670527313217863e-18
AT1G42990,ATBZIP60,"AtbZIP60 consists of a bZIP DNA binding domain followed by a putative transmembrane domain. GFP fusions containing the first 260 amino acids (AtbZIP60deltaC) are nuclear-localized. AtbZIP60 is upregulated by the addition of tunicamycin (ER stress response inductor), DTT (inhibitor of disulfide bond formation) and azetin-2-carboxylate (proline analog perturbing protein structure). Upon ER stress the protein is proteolyzed and the soluble part is translocalized into the nucleus. AtbZIP60deltaC can activate the promoters of the ER chaperones BiP1, BiP2 and BiP3 and CNX1 and CNX2 via binding to the ER stress response element (ERSE) and the plant unfolded protein response element(P-UPRE). It can also activate its own transcription.",7020.479876939201,4.687113755382261,0.5287721210942625,2.799984977773054e-20,1.3049032835144528e-18
AT1G27770,ACA1,Encodes a chloroplast envelope Ca2+-ATPase with an N-terminal autoinhibitor.,5393.832094970498,3.346937447515416,0.375836925888229,3.136346641815085e-20,1.4584696676283335e-18
AT1G35230,AGP5,Encodes arabinogalactan-protein (AGP5).,1081.757470470052,5.448812686603422,0.6178208477242463,3.5679228278586016e-20,1.655547285135784e-18
AT5G61900,BON,"Encodes a plasma-membrane localized, copine-like protein, which is a member of a newly identified class of calcium-dependent, phospholipid binding proteins that are present in a wide range of organisms. Mutants exhibit temperature-sensitive growth defects and increased hypersensitive response where permissive conditions are low temperature (22 degrees Celsius) and low humidity. Gene is expressed at 22 but not at 28 (restrictive condition) degrees. Lethality of double mutants with BON3 can be partially suppressed by SNC1. Double mutants show defects in development that are genetically separable from hypersensitive/cell death response.",1469.0698766196797,3.6170494997203217,0.4080825728887699,4.072554944624591e-20,1.8855929393611857e-18
AT1G13480,NA,NA,1024.9748517637977,3.571279051344274,0.4029968086272906,4.3209394348589455e-20,1.9924189806344006e-18
AT3G19970,NA,NA,587.8030112985244,2.7822551112157177,0.31240046037405644,4.3219906519536734e-20,1.9924189806344006e-18
AT5G44870,LAZ5,NA,1446.6275014023836,2.8527904661122756,0.3205437123042946,4.33404651598119e-20,1.993661397351347e-18
AT1G16090,WAKL7,WAK-like kinase,274.9165622777532,4.244146340403915,0.4796216262623921,4.4662818560642094e-20,2.050061874363266e-18
AT1G17750,AtPEPR2,"Encodes PEPR2, a plasma membrane leucine-rich repeat receptor kinase functioning as a receptor for the Pep1 and Pep2 peptides.  Pep1 and Pep2 are amino acids that induce the transcription of defense-related genes.",105.23740970551204,3.5392394073319147,0.3978159004146517,5.1188969372752223e-20,2.3445648810771547e-18
AT4G23280,CRK20,Encodes a cysteine-rich receptor-like protein kinase.,721.7009970096595,7.914242167281802,0.9027407181868404,5.455542729785456e-20,2.493393756630271e-18
AT4G08500,ARAKIN,"Encodes a member of the A1 subgroup of the MEKK (MAPK/ERK kinase kinase) family. MEKK is another name for Mitogen-Activated Protein Kinase Kinase Kinase (MAPKKK or MAP3K).  This subgroup has four members: At4g08500 (MEKK1, also known as ARAKIN, MAP3Kb1, MAPKKK8), At4g08480 (MEKK2, also known as MAP3Kb4, MAPKKK9),  At4g08470 (MEKK3, also known as MAP3Kb3, MAPKKK10) and At4g12020 (MEKK4, also known as MAP3Kb5, MAPKKK11, WRKY19). Nomenclatures for mitogen-activated protein kinases are described in Trends in Plant Science 2002, 7(7):301. Mediates cold, salt, cadmium and wounding stress signalling. Phosphorylates MEK1.",1610.0610951804094,2.3341812720527706,0.2620254567314005,5.536822061611432e-20,2.5251228322955094e-18
AT3G50190,NA,NA,160.15941841260198,3.773382177629721,0.4259313418940028,5.735075037389396e-20,2.609949319365798e-18
AT5G54720,NA,NA,2536.494952885863,4.445432147400549,0.505113081869952,5.994943518725838e-20,2.722394606861895e-18
AT5G66850,MAPKKK5,member of MEKK subfamily,6133.980061757551,3.239867721771871,0.36813668577997,6.580102079767095e-20,2.9817662573378633e-18
AT3G16860,COBL8,NA,1402.7950816380546,3.7383561404011383,0.42689570380614433,9.025206351766813e-20,4.081079509128016e-18
AT5G12930,NA,NA,2062.981298402847,4.161935601586145,0.4752807045333371,9.200313226612024e-20,4.151446421618281e-18
AT2G44370,NA,NA,7362.857675628921,5.222286680452725,0.5987220753607164,9.267578136156845e-20,4.1729572757688885e-18
AT1G53110,NA,NA,333.93082236652754,3.190255017556952,0.3630552038050994,1.027860444301846e-19,4.6184328571182935e-18
AT2G41100,ATCAL4,"encodes a calmodulin-like protein, with six potential calcium binding domains. Calcium binding shown by Ca(2+)-specific shift in electrophoretic mobility. Expression induced by touch and darkness. Expression may also be developmentally controlled. Expression in growing regions of roots, vascular tissue, root/shoot junctions, trichomes, branch points of the shoot, and regions of siliques and flowers.",62302.40742643328,3.4307427089058256,0.39141202972810984,1.098711048719631e-19,4.9263890348696205e-18
AT1G06830,CEPD1,NA,233.75599258584572,4.490732221809064,0.5135867270577565,1.1387667425608256e-19,5.095263462827828e-18
AT5G55460,AtLTP4.5,NA,91.88012145074772,4.388832440118048,0.49727772373692575,1.2019905106493917e-19,5.3668750305682894e-18
AT1G22280,PAPP2C,"Encodes a phytochrome-associated protein, PAPP2C (phytochrome-associated protein phosphatase type 2C).  PAPP2C interacts in the nucleus with phyA (phytochrome A) and phyB.  Functions as a regulator of phytochrome-interacting factor PIF3 by dephosphorylating phytochromes in the nucleus.",5430.751321086553,3.425247956283286,0.3912579129612645,1.2095570552030553e-19,5.3893611216976294e-18
AT3G20600,NDR1,Required for non-race specific resistance to bacterial and fungal pathogens.Mediates systemic acquired resistance (SAR) response.,708.5384264636381,4.529490717202465,0.5200990440152743,1.2412048443812533e-19,5.518826884265539e-18
