GeneID,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT1G16150,WAKL4,"Encodes a cell-wall associated kinase like protein of the receptor-like kinase (RLK) superfamily.  Likely involved in Arabidopsis root mineral responses to Zn2+, Cu2+, K+, Na+ and Ni+.",2239.379154856779,5.544809652475104,0.4025374037971773,1.139950885243714e-44,1.8254642070617006e-42
AT4G15233,ABCG42,NA,4790.277772362655,3.3914627544103357,0.2467437517095603,2.3195429763479604e-44,3.6866885306163324e-42
AT4G23220,CRK14,Encodes a cysteine-rich receptor-like protein kinase.,1704.660913396512,6.649629093323009,0.4868771213918173,5.343054680795216e-44,8.429361377153814e-42
AT3G29000,NA,NA,1063.0910472758785,7.689731303313681,0.563261878066261,7.992070015242078e-44,1.2515816704751892e-41
AT2G33110,ATVAMP723,member of VAMP72 Gene Family,604.1066110467677,4.822522955530115,0.35417595417871056,1.6490401395680584e-43,2.563595393614636e-41
AT4G02200,NA,NA,2017.8958806465048,3.5073361273781827,0.2575976215078666,1.9531632190312687e-43,3.0143819013715907e-41
AT2G22500,ATPUMP5,"Encodes one of the mitochondrial dicarboxylate carriers (DIC): DIC1 (AT2G22500), DIC2 (AT4G24570), DIC3 (AT5G09470).",9081.60987643068,6.4725790917416095,0.47776528552824427,2.275491723567323e-43,3.4865771747148807e-41
AT3G59080,NA,NA,2078.2212321140305,3.8808086295138104,0.2859285607299251,3.0105480070871576e-43,4.5799036753530204e-41
AT1G56140,NA,NA,4685.039892823103,3.730138911064454,0.2738944467652315,3.153268694999118e-43,4.763001181992286e-41
AT2G23320,AtWRKY15,Encodes WRKY DNA-binding protein 15 (WRKY15).,11265.625385725194,3.5008325278372423,0.2587764248026171,6.715261531619684e-43,1.00719464859462e-40
AT5G61560,NA,NA,4471.772363868397,4.277459140336694,0.3173080320688589,1.0753904048005883e-42,1.601654884016988e-40
AT2G40180,ATHPP2C5,"Encodes PP2C5, a member of the PP2C family phosphatases.  PP2C5 acts as a MAPK phosphatase that positively regulates seed germination, stomatal closure and ABA-inducible gene expression.",458.0296442079904,4.956272868402277,0.36814362897239455,1.2502703397668694e-42,1.84918456224686e-40
AT1G01340,ACBK1,member of Cyclic nucleotide gated channel family,1433.1330700387382,3.5752634823067933,0.2655658871834654,1.5534214014043326e-42,2.281708207386861e-40
AT5G48657,NA,NA,5313.738558087169,4.4627172013239385,0.33237003322618786,1.8204513173158186e-42,2.655614531246049e-40
