gene,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT3G14230,RAP2.2,encodes a member of the ERF (ethylene response factor) subfamily B-2 of ERF/AP2 transcription factor family (RAP2.2). The protein contains one AP2 domain. There are 5 members in this subfamily including RAP2.2 AND RAP2.12.,1045.4535652440015,-0.24623364237092857,0.3839275959055038,0.20180205481324712,0.8229504879916958
AT1G54520,FLAP1,NA,1135.8754453918564,0.25220744025364333,0.38070736290654794,0.20203172105256265,0.8233891516145034
AT2G23910,NA,NA,77.67971776492811,-0.17629101823293591,0.39878054882336944,0.20197076688242832,0.8233891516145034
AT5G38990,MDS1,NA,389.78689772194264,0.20685409144587816,0.3910827551862241,0.20203004206453903,0.8233891516145034
AT1G78610,MSL6,NA,317.8691668561956,-0.19029155029690448,0.3999063250724854,0.2022133193294759,0.8239632756001263
AT2G41800,TEB,NA,73.25468729221677,-0.17960266502009437,0.3992035849177997,0.20247911873867463,0.824050503158746
AT3G09050,NA,NA,229.3921971458227,0.23805069361909903,0.392422840706664,0.2024754443747942,0.824050503158746
AT4G19003,VPS25,NA,203.04627032131327,-0.24304884938031548,0.3855751755187563,0.20245619661456135,0.824050503158746
AT4G29780,NA,NA,608.8058015282004,0.15291176305933046,0.39566134195014246,0.20238502402881617,0.824050503158746
AT5G01800,NA,NA,1705.6454531559734,-0.238413235053592,0.3891115562121034,0.20238002293483712,0.824050503158746
AT5G63570,GSA1,"Encodes a protein with homology to glutamate-1-semialdehyde 2,1-aminomutase catalyzing the conversion of glutamate-1-semialdehyde (GSA) into 5-amino levulinate. The expression of this gene was demonstrated to be light-induced.",886.6334094274268,0.2481824659667188,0.3852258146719129,0.20240070757931408,0.824050503158746
AT2G35940,BLH1,Encodes a member of the BEL-like homeodomain protein family. Ecotopic expression in the embryo sac leads to defects in nuclear migration and cellularization and embryo sacs with multiple egg cells. Loss of function alleles have no female gametophyte defects. The ecotopic expression phenotype requires KNAT3 because it can be suppressed by loss of KNAT3 function alleles.  Localized to the nucleus but interaction with OFP1 relocates it to the cytoplasm.,1859.7869462431356,0.1853740289772868,0.401240971390632,0.20255878716118,0.8242089346455818
AT1G20220,ALBA2,NA,763.7998488839517,0.2345127872576293,0.3951471067786445,0.20296887462777,0.8244729672999558
AT1G21580,SOP1,NA,556.5728550694333,-0.24902984932663547,0.375529972615841,0.20279119962642927,0.8244729672999558
AT1G80610,NA,NA,223.7829722313566,0.22428184586225805,0.3985165914658309,0.20288557664367404,0.8244729672999558
AT3G12110,ACT11,Encodes an actin that is expressed predominantly during reproductive development.,155.7247937372476,0.2115264518679309,0.4012222763358546,0.20289743949913416,0.8244729672999558
AT3G14550,AtGFPPS2,"Encodes a protein with geranylgeranyl pyrophosphate synthase activity involved in isoprenoid biosynthesis. The enzyme appears to be targeted to the chloroplast in epidermal cells and guard cells of leaves, and in etioplasts in roots.",15.340994442143105,0.1529354654876854,0.3950050655581026,0.20277428502196565,0.8244729672999558
AT5G01630,ATBRCA2(V),Ortholog of breast cancer susceptibility protein 2. Essential at meiosis. Interacts with with both Rad51 and Dss1(I) or  both Dmc1 and Dss1(I) in a tripartite complex.,44.24567140252379,0.2129744515672997,0.40039699826208475,0.2029904527764856,0.8244729672999558
AT5G15830,AtbZIP3,NA,53.32095850597703,0.15408779496290925,0.39550323783353886,0.20276434564729412,0.8244729672999558
AT5G66200,ARO2,"Armadillo repeat protein. One of a family of four in Arabidopsis. Expressed in vegetative tissues, anthers and ovules.",713.4800542784658,-0.24609284765889525,0.3817139245025364,0.2028715696201188,0.8244729672999558
AT5G67110,ALC,encodes a myc/bHLH transcription factor-like  protein.  Gene product is involved in fruit  dehiscence.  Mutant siliques fail to dehisce.,40.26590784153249,0.20004687863211,0.40128027273350103,0.20293432552505117,0.8244729672999558
