"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PICALM",0.0250613568662184,-1.6795076088069,0.007,0.02,1
"PUSL1",0.0251082289925052,-1.21937513574222,0.007,0.02,1
"MAP4K3",0.025111098631907,-2.20666853704499,0.001,0.01,1
"LZTS2",0.025111098631907,-2.36167855535422,0.001,0.01,1
"TWF2",0.0251192482398587,-0.546379921745696,0.061,0.094,1
"ZNF707",0.0251840327262309,-2.5927133001476,0.001,0.01,1
"SCRIB",0.0251840327262309,-1.78944721995389,0.001,0.01,1
"EPS8L2",0.0251840327262309,-2.09020486527732,0.001,0.01,1
"FURIN",0.0251840327262309,-1.39246617716298,0.001,0.01,1
"COG1",0.0251840327262309,-1.7517195386547,0.001,0.01,1
"PWP1",0.0251942805458676,-0.275451199701575,0.097,0.138,1
"CCT5",0.0253025610313143,-0.357255631734669,0.324,0.389,1
"RBM27",0.0253245372932241,-0.726576682125753,0.055,0.086,1
"YIF1A",0.0253782365396739,-0.350747608007945,0.178,0.228,1
"SGCE",0.0253910585246794,-1.52733973699142,0.007,0.02,1
"DUSP11",0.0254841183685364,-0.44051054161183,0.111,0.153,1
"ZNF557",0.0255336199013786,2.05089426895358,0.016,0.003,1
"DPH3",0.0255978961352622,0.830179733465933,0.124,0.089,1
"SIKE1",0.0256035682255095,0.814909344100459,0.074,0.045,1
"PTOV1",0.0257194993929964,-0.952144050107616,0.034,0.059,1
"TBCK",0.0257439312381333,1.90593880437222,0.016,0.003,1
"NELFE",0.0257631727882584,-0.271893485120613,0.129,0.176,1
"MPC1",0.0259311244663152,0.833281389765783,0.086,0.055,1
"RTF1",0.0260012856783322,-0.594846926118257,0.123,0.163,1
"ZFP36",0.0260743194030478,-0.26294026260889,0.296,0.351,1
"THYN1",0.0260810317576905,-0.444533476541536,0.07,0.106,1
"HSPH1",0.0261194493078613,0.532701383601291,0.202,0.159,1
"HBS1L",0.0263089360386989,-0.999936338177188,0.026,0.049,1
"GPM6B",0.0263155297713513,1.03398486562558,0.048,0.025,1
"SRD5A3",0.026336020320864,-1.37741435572017,0.013,0.03,1
"GCH1",0.0263406558468634,1.49343498521523,0.037,0.017,1
"GEMIN6",0.0263583781579092,-0.86425098914146,0.039,0.065,1
"PRKDC",0.0264102869454041,-0.583686513991441,0.052,0.082,1
"DUSP1",0.0264119366813914,-0.886039193012369,0.047,0.076,1
"SDCBP",0.0264258529539969,-0.465933870101063,0.219,0.273,1
"RCE1",0.0267169547719368,-0.998232613545766,0.033,0.057,1
"THOC3",0.0267192515482366,-0.837059662066295,0.026,0.049,1
"CCDC167",0.0267355550430577,-0.88761370314597,0.04,0.067,1
"C21orf91",0.0267888585426393,1.40494166013435,0.037,0.017,1
"TIPRL",0.0268105853676714,0.716163769333216,0.124,0.089,1
